rid	seed	source	translation	src_gender	sent_count	prev_context	prev_context_count	matching	trail_context	trail_context_count	sampling_rule_applies
0	dispatchers	The benefits of a mobile system as it can then be integrated back into the other software systems used by an organization such as asset management, rostering, and other financial systems. Trucking dispatch   Trucking dispatchers play a major role in transportation logistics. Truck dispatchers orchestrate freight movement and equipment from one place to another while keeping close communication with truck drivers. Some dispatching companies help truck drivers to negotiate and acquire loads and handle paperwork.	Die Vorteile eines mobilen Systems liegen darin, dass es in die anderen Softwaresysteme eines Unternehmens integriert werden kann, z. B. in die Anlagenverwaltung, die Dienstplanung und andere Finanzsysteme. Lkw-Disposition Lkw-Disponenten spielen eine wichtige Rolle in der Transportlogistik. Lkw-Disponenten organisieren den Transport von Gütern und Ausrüstungen von einem Ort zum anderen und stehen dabei in engem Kontakt mit den Lkw-Fahrern. Einige Disponenten helfen den Lkw-Fahrern bei der Verhandlung und Beschaffung von Ladungen und bei der Erledigung des Papierkrams.	M	4	The benefits of a mobile system as it can then be integrated back into the other software systems used by an organization such as asset management, rostering, and other financial systems. Trucking dispatch   Trucking dispatchers play a major role in transportation logistics.	2.0	Truck dispatchers orchestrate freight movement and equipment from one place to another while keeping close communication with truck drivers.	Some dispatching companies help truck drivers to negotiate and acquire loads and handle paperwork.	1.0	True
1	dispatchers	And the 5K was added. The finish line shifted slightly, and Mayo Clinic became the main sponsor. In 2014, before the race, 56-year-old North Mankato, Minnesota, resident Brian Mechler called emergency dispatchers to tell them an anonymous person planted four bombs on the marathon race route. The course was searched by local police and bomb-sniffing dogs from the Twin Cities.	Die Ziellinie wurde leicht verschoben und die Mayo Clinic wurde zum Hauptsponsor. 2014, vor dem Rennen, rief der 56-jährige Brian Mechler aus North Mankato, Minnesota, den Notruf an und teilte mit, dass eine anonyme Person vier Bomben auf der Marathonstrecke platziert habe. Die Strecke wurde von der örtlichen Polizei und Bombenspürhunden aus den Twin Cities abgesucht.	Neutral	4	And the 5K was added. The finish line shifted slightly, and Mayo Clinic became the main sponsor.	2.0	In 2014, before the race, 56-year-old North Mankato, Minnesota, resident Brian Mechler called emergency dispatchers to tell them an anonymous person planted four bombs on the marathon race route.	The course was searched by local police and bomb-sniffing dogs from the Twin Cities.	1.0	True
3	dispatchers	Caplen is an unincorporated community that is part of the Bolivar Peninsula census-designated place, in Galveston County, Texas, United States. Government and infrastructure On April 23, 1991, the community, and other areas of Galveston County, received an enhanced 9-1-1 system which routes calls to proper dispatchers and allows dispatchers to automatically view the address of the caller. Education  Caplen students are zoned to schools in the High Island Independent School District.	Caplen ist eine nicht eingemeindete Gemeinde, die zum Bolivar Peninsula Census-Designated Place im Galveston County, Texas, USA, gehört. Regierung und Infrastruktur Am 23. April 1991 erhielt die Gemeinde, wie auch andere Gebiete im Galveston County, ein verbessertes 9-1-1-System, das Anrufe an die richtigen Disponenten weiterleitet und es den Disponenten ermöglicht, automatisch die Adresse des Anrufers einzusehen. Bildung Caplen-Schüler werden in Schulen des High Island Independent School District eingeteilt.	M	3						False
7	deputies	"In July 2016, Serhiy Shakhov won the by-elections to the Verkhovna Rada in constituency No. 114 (Luhansk region) with 37.62% result. According to the results of the local elections of 2015–2019, the party entered the top five by the number of elected deputies. In the first elections in the newly created united territorial communities, which took place in December 2016, 245 candidates became deputies from ""Our Land""."	"Im Juli 2016 gewann Serhiy Shakhov die Nachwahlen zur Werchowna Rada im Wahlkreis Nr. 114 (Gebiet Luhansk) mit einem Ergebnis von 37,62 %. Nach den Ergebnissen der Kommunalwahlen 2015-2019 erreichte die Partei die ersten fünf Plätze nach der Anzahl der gewählten Abgeordneten. Bei den ersten Wahlen in den neu geschaffenen vereinigten Gebietskörperschaften, die im Dezember 2016 stattfanden, wurden 245 Kandidaten Abgeordnete von ""Unser Land""."	Neutral	3						False
8	deputies	The area was led by Anne Mbusu who was the administrator appointed by former President Joseph Kabila Kabang. She was one of the women entrusted with such a role in the DRC. The town elects seven national deputies and the majority recently were from the Unified Lumumbist Party. References  Populated places in Kwilu Province	Das Gebiet wurde von Anne Mbusu geleitet, die vom ehemaligen Präsidenten Joseph Kabila Kabang zur Verwalterin ernannt wurde. Sie war eine der Frauen, die in der Demokratischen Republik Kongo mit einer solchen Aufgabe betraut wurden. Die Stadt wählt sieben nationale Abgeordnete, von denen die meisten in letzter Zeit der Unified Lumumbist Party angehörten. Referenzen Besiedelte Orte in der Provinz Kwilu	Neutral	4	The area was led by Anne Mbusu who was the administrator appointed by former President Joseph Kabila Kabang. She was one of the women entrusted with such a role in the DRC.	2.0	The town elects seven national deputies and the majority recently were from the Unified Lumumbist Party.	References  Populated places in Kwilu Province	1.0	True
9	deputies	The first round of the election saw a turnout of 85.5 percent, and the runoff-election turnout was 74.8 percent. The Croatian Democratic Union (HDZ) won 205 seats, and the League of Communist of Croatia won 107. Previous Chamber of Deputies and unicameral Sabor elections Nine parliamentary elections have been held since for the Chamber of Deputies () or the unicameral parliament since then—in 1992, 1995, 2000, 2003, 2007, 2011, 2015, 2016, 2020. Beginning with the 1992 elections, the number of seats in the Chamber of Deputies (and, later, in the unicameral parliament) was significantly changed—ranging from 127 in 1995 to 153 in 2007 and 151 in 2011.	Die Wahlbeteiligung lag im ersten Wahlgang bei 85,5 Prozent und in der Stichwahl bei 74,8 Prozent. Die Kroatische Demokratische Union (HDZ) gewann 205 Sitze, die Liga der Kommunisten Kroatiens 107. Frühere Wahlen zum Abgeordnetenhaus und zum Einkammerparlament (Sabor) Seitdem wurden neun Parlamentswahlen abgehalten: 1992, 1995, 2000, 2003, 2007, 2011, 2015, 2016 und 2020. Seit den Wahlen von 1992 hat sich die Anzahl der Sitze im Abgeordnetenhaus (und später im Einkammerparlament) erheblich verändert - von 127 im Jahr 1995 auf 153 im Jahr 2007 und 151 im Jahr 2011.	Neutral	4	The first round of the election saw a turnout of 85.5 percent, and the runoff-election turnout was 74.8 percent. The Croatian Democratic Union (HDZ) won 205 seats, and the League of Communist of Croatia won 107.	2.0	Previous Chamber of Deputies and unicameral Sabor elections Nine parliamentary elections have been held since for the Chamber of Deputies () or the unicameral parliament since then—in 1992, 1995, 2000, 2003, 2007, 2011, 2015, 2016, 2020.	Beginning with the 1992 elections, the number of seats in the Chamber of Deputies (and, later, in the unicameral parliament) was significantly changed—ranging from 127 in 1995 to 153 in 2007 and 151 in 2011.	1.0	True
10	settlers	Midewin remains the only federal tallgrass prairie preserve east of the Mississippi River, where surviving areas of that habitat are extremely rare. With the adjacent Des Plaines Fish and Wildlife Area and a number of other state and county protected areas in the immediate area, Midewin forms the heart of a conservation macrosite totaling more than 40,000 acres of protected land. The pre-European settlement vegetation map of Midewin shows most of the site was prairie prior to the arrival of European settlers. The northwestern corner of the site along Jackson Creek was forest.	Midewin ist nach wie vor das einzige staatliche Schutzgebiet für Wiesen und Weiden östlich des Mississippi, wo überlebende Gebiete dieses Lebensraums äußerst selten sind. Zusammen mit dem angrenzenden Des Plaines Fish and Wildlife Area und einer Reihe anderer staatlicher und regionaler Schutzgebiete in der unmittelbaren Umgebung bildet Midewin das Herzstück eines Makrogebiets, das insgesamt mehr als 40.000 Hektar geschütztes Land umfasst. Die Karte der Vegetation vor der europäischen Besiedlung von Midewin zeigt, dass der größte Teil des Geländes vor der Ankunft der europäischen Siedler aus Wiesen bestand. Die nordwestliche Ecke des Geländes entlang des Jackson Creek war Wald.	M	4	Midewin remains the only federal tallgrass prairie preserve east of the Mississippi River, where surviving areas of that habitat are extremely rare. With the adjacent Des Plaines Fish and Wildlife Area and a number of other state and county protected areas in the immediate area, Midewin forms the heart of a conservation macrosite totaling more than 40,000 acres of protected land.	2.0	The pre-European settlement vegetation map of Midewin shows most of the site was prairie prior to the arrival of European settlers.	The northwestern corner of the site along Jackson Creek was forest.	1.0	True
11	settlers	The Dharug and Darkinjung people called the river Deerubbin and it was a vital source of food and transport. Governor Arthur Phillip explored the local area in search of suitable agricultural land in 1789 and discovered and named the Hawkesbury River after Baron Hawkesbury. This region played a significant role in the early development of the colony with European settlers established here by 1794. Situated on fertile floodplains and well known for its abundant agriculture, Green Hills (as it was originally called) supported the colony through desperate times.	Die Dharug und Darkinjung nannten den Fluss Deerubbin und er war eine lebenswichtige Nahrungs- und Transportquelle. 1789 erkundete Gouverneur Arthur Phillip die Gegend auf der Suche nach geeignetem Ackerland und entdeckte den Hawkesbury River, den er nach Baron Hawkesbury benannte. Diese Region spielte eine wichtige Rolle bei der frühen Entwicklung der Kolonie, denn bereits 1794 ließen sich hier europäische Siedler nieder. Die auf fruchtbaren Überschwemmungsgebieten gelegenen Green Hills (so der ursprüngliche Name) waren für ihre üppige Landwirtschaft bekannt und unterstützten die Kolonie in schwierigen Zeiten.	M	4	The Dharug and Darkinjung people called the river Deerubbin and it was a vital source of food and transport. Governor Arthur Phillip explored the local area in search of suitable agricultural land in 1789 and discovered and named the Hawkesbury River after Baron Hawkesbury.	2.0	This region played a significant role in the early development of the colony with European settlers established here by 1794.	Situated on fertile floodplains and well known for its abundant agriculture, Green Hills (as it was originally called) supported the colony through desperate times.	1.0	True
12	settlers	Since the majority of the European and African colonizers and enslaved laborers arrived without women, intermarriage often occurred with the remaining Taíno women. The offspring from these interracial relationships created a population of Mulattos and Mestizos. When the gold mines were declared depleted in 1570 and mining came to an end in Puerto Rico, the vast majority of the white Spanish settlers left the island to seek their fortunes in the richer colonies, such as Mexico, and the island became a Spanish garrison. The majority of those who stayed behind were either black or mulatto.	Da die meisten europäischen und afrikanischen Kolonisatoren und versklavten Arbeiter ohne Frauen ankamen, kam es häufig zu Mischehen mit den verbliebenen Taíno-Frauen. Die Nachkommen aus diesen gemischtrassigen Beziehungen bildeten eine Bevölkerung von Mulatten und Mestizen. Als die Goldminen 1570 für erschöpft erklärt wurden und der Bergbau in Puerto Rico zum Erliegen kam, verließ die große Mehrheit der weißen spanischen Siedler die Insel, um ihr Glück in den reicheren Kolonien wie Mexiko zu suchen, und die Insel wurde zu einer spanischen Garnison. Die meisten derjenigen, die zurückblieben, waren entweder schwarz oder mulattisch.	M	4	Since the majority of the European and African colonizers and enslaved laborers arrived without women, intermarriage often occurred with the remaining Taíno women. The offspring from these interracial relationships created a population of Mulattos and Mestizos.	2.0	When the gold mines were declared depleted in 1570 and mining came to an end in Puerto Rico, the vast majority of the white Spanish settlers left the island to seek their fortunes in the richer colonies, such as Mexico, and the island became a Spanish garrison.	The majority of those who stayed behind were either black or mulatto.	1.0	True
18	recipients	Only 4% of the nonprofits Charity Navigator rates have received at least 5 consecutive 4-star evaluations. Charity Navigator evaluates non-profit performance and rates organizations. Kids Helping Kids Kids Helping Kids is a special program that unites groups of young people with dream recipients. There have been more than 30 schools, clubs and youth groups from civic, religious and service organizations that raised and donated funds.	Nur 4 % der von Charity Navigator bewerteten Non-Profit-Organisationen haben mindestens 5 aufeinanderfolgende 4-Sterne-Bewertungen erhalten. Charity Navigator bewertet die Leistung von Non-Profit-Organisationen und gibt ihnen eine Bewertung. Kids Helping Kids Kids Helping Kids ist ein besonderes Programm, das Gruppen von jungen Menschen mit Empfängern von Träumen zusammenbringt. Mehr als 30 Schulen, Vereine und Jugendgruppen aus bürgerlichen, religiösen und Dienstleistungsorganisationen haben Spenden gesammelt und gespendet.	M	4	Only 4% of the nonprofits Charity Navigator rates have received at least 5 consecutive 4-star evaluations. Charity Navigator evaluates non-profit performance and rates organizations.	2.0	Kids Helping Kids Kids Helping Kids is a special program that unites groups of young people with dream recipients.	There have been more than 30 schools, clubs and youth groups from civic, religious and service organizations that raised and donated funds.	1.0	True
