rid	seed	source	translation	src_gender	sent_count	prev_context	prev_context_count	matching	trail_context	trail_context_count	sampling_rule_applies
0	dispatchers	The benefits of a mobile system as it can then be integrated back into the other software systems used by an organization such as asset management, rostering, and other financial systems. Trucking dispatch   Trucking dispatchers play a major role in transportation logistics. Truck dispatchers orchestrate freight movement and equipment from one place to another while keeping close communication with truck drivers. Some dispatching companies help truck drivers to negotiate and acquire loads and handle paperwork.	Die Vorteile eines mobilen Systems bestehen darin, dass es dann in andere von einer Organisation verwendete Softwaresysteme wie Vermögensverwaltung, Einsatzplanung und andere Finanzsysteme integriert werden kann. Die Koordination von Frachteinsätzen ist für Transportlogistik von großer Bedeutung. Frachtkoordinatoren orchestrieren den Transport von Gütern und Ausrüstung von einem Ort zum anderen und halten dabei engen Kontakt mit Lkw-Fahrern. Einige Despatching-Unternehmen helfen Lkw-Fahrern dabei, Frachtaufträge auszuhandeln und zu akquirieren sowie die damit verbundene Büroarbeit zu erledigen.	M	4	The benefits of a mobile system as it can then be integrated back into the other software systems used by an organization such as asset management, rostering, and other financial systems. Trucking dispatch   Trucking dispatchers play a major role in transportation logistics.	2.0	Truck dispatchers orchestrate freight movement and equipment from one place to another while keeping close communication with truck drivers.	Some dispatching companies help truck drivers to negotiate and acquire loads and handle paperwork.	1.0	True
1	dispatchers	And the 5K was added. The finish line shifted slightly, and Mayo Clinic became the main sponsor. In 2014, before the race, 56-year-old North Mankato, Minnesota, resident Brian Mechler called emergency dispatchers to tell them an anonymous person planted four bombs on the marathon race route. The course was searched by local police and bomb-sniffing dogs from the Twin Cities.	Und die 5K wurde hinzugefügt. Die Ziellinie hat sich leicht verschoben und Mayo Clinic wurde zum Hauptsponsor. Im Jahr 2014 rief der 56-jährige Brian Mechler, ein Bewohner von North Mankato, Minnesota, den Notruf an, um ihnen mitzuteilen, dass eine anonyme Person vier Bomben auf der Marathonstrecke platziert hat. Die Strecke wurde von der örtlichen Polizei und Bombenspürhunden der Twin Cities durchsucht.	Neutral	4	And the 5K was added. The finish line shifted slightly, and Mayo Clinic became the main sponsor.	2.0	In 2014, before the race, 56-year-old North Mankato, Minnesota, resident Brian Mechler called emergency dispatchers to tell them an anonymous person planted four bombs on the marathon race route.	The course was searched by local police and bomb-sniffing dogs from the Twin Cities.	1.0	True
2	dispatchers	The Train Dispatchers belong to the AFL-CIO as one of the organization's smallest members. Jurisdictions ATDA operates mostly as a craft union representing railroad dispatchers. Specialized forms of dispatchers including trick train dispatchers, night chief dispatchers and assistant chief dispatchers are also members of the union. The organization also represents the crafts that provide power to electrified trains, mostly on commuter lines.	Die Zugdisponenten gehören als eines der kleinsten Mitglieder zur AFL-CIO. ATDA agiert hauptsächlich als Fachgewerkschaft, die Zugdisponenten vertritt. Spezialisierte Formen von Disponenten wie Trickzug-Disponenten, Nachtschichtleiter von Disponenten und stellvertretende Leiter von Disponenten sind ebenfalls Mitglieder der Gewerkschaft. Die Organisation vertritt auch Gewerke, die Strom für elektrifizierte Züge bereitstellen, hauptsächlich in Pendlerlinien.	M	4	The Train Dispatchers belong to the AFL-CIO as one of the organization's smallest members. Jurisdictions ATDA operates mostly as a craft union representing railroad dispatchers.	2.0	Specialized forms of dispatchers including trick train dispatchers, night chief dispatchers and assistant chief dispatchers are also members of the union.	The organization also represents the crafts that provide power to electrified trains, mostly on commuter lines.	1.0	True
7	deputies	"In July 2016, Serhiy Shakhov won the by-elections to the Verkhovna Rada in constituency No. 114 (Luhansk region) with 37.62% result. According to the results of the local elections of 2015–2019, the party entered the top five by the number of elected deputies. In the first elections in the newly created united territorial communities, which took place in December 2016, 245 candidates became deputies from ""Our Land""."	"Im Juli 2016 gewann Serhiy Shakhov die Nachwahlen zur Verkhovna Rada im Wahlkreis Nr. 114 (Luhansk-Region) mit einem Ergebnis von 37,62%. Gemäß den Ergebnissen der Kommunalwahlen von 2015-2019 gehörte die Partei zu den fünf Parteien mit der höchsten Anzahl gewählter Abgeordneter. Bei den ersten Wahlen in den neu geschaffenen Vereinigten Territorialgemeinschaften im Dezember 2016 wurden 245 Kandidaten zu Abgeordneten von ""Our Land""."	Neutral	3						False
8	deputies	The area was led by Anne Mbusu who was the administrator appointed by former President Joseph Kabila Kabang. She was one of the women entrusted with such a role in the DRC. The town elects seven national deputies and the majority recently were from the Unified Lumumbist Party. References  Populated places in Kwilu Province	Das Gebiet wurde von Anne Mbusu geleitet, die von dem ehemaligen Präsidenten Joseph Kabila Kabang als Administratorin ernannt wurde. Sie war eine der Frauen, denen eine solche Rolle in der DR Kongo anvertraut wurde. Die Stadt wählt sieben nationale Abgeordnete und die Mehrheit davon waren kürzlich Mitglieder der Vereinten Lumumbistischen Partei. Referenzen Besiedelte Orte in der Provinz Kwilu.	Neutral	4	The area was led by Anne Mbusu who was the administrator appointed by former President Joseph Kabila Kabang. She was one of the women entrusted with such a role in the DRC.	2.0	The town elects seven national deputies and the majority recently were from the Unified Lumumbist Party.	References  Populated places in Kwilu Province	1.0	True
9	deputies	The first round of the election saw a turnout of 85.5 percent, and the runoff-election turnout was 74.8 percent. The Croatian Democratic Union (HDZ) won 205 seats, and the League of Communist of Croatia won 107. Previous Chamber of Deputies and unicameral Sabor elections Nine parliamentary elections have been held since for the Chamber of Deputies () or the unicameral parliament since then—in 1992, 1995, 2000, 2003, 2007, 2011, 2015, 2016, 2020. Beginning with the 1992 elections, the number of seats in the Chamber of Deputies (and, later, in the unicameral parliament) was significantly changed—ranging from 127 in 1995 to 153 in 2007 and 151 in 2011.	Die erste Runde der Wahl sah eine Wahlbeteiligung von 85,5 Prozent, und die Stichwahlbeteiligung betrug 74,8 Prozent. Die Kroatische Demokratische Union (HDZ) gewann 205 Sitze und die Liga der Kommunisten Kroatiens gewann 107. Seitdem wurden neun Parlamentswahlen für die Abgeordnetenkammer bzw. das Einkammer-Parlament abgehalten - 1992, 1995, 2000, 2003, 2007, 2011, 2015, 2016, 2020. Ab den Wahlen im Jahr 1992 wurden die Anzahl der Sitze in der Abgeordnetenkammer (und später im Einkammer-Parlament) signifikant verändert - von 127 im Jahr 1995 auf 153 im Jahr 2007 und 151 im Jahr 2011.	Neutral	4	The first round of the election saw a turnout of 85.5 percent, and the runoff-election turnout was 74.8 percent. The Croatian Democratic Union (HDZ) won 205 seats, and the League of Communist of Croatia won 107.	2.0	Previous Chamber of Deputies and unicameral Sabor elections Nine parliamentary elections have been held since for the Chamber of Deputies () or the unicameral parliament since then—in 1992, 1995, 2000, 2003, 2007, 2011, 2015, 2016, 2020.	Beginning with the 1992 elections, the number of seats in the Chamber of Deputies (and, later, in the unicameral parliament) was significantly changed—ranging from 127 in 1995 to 153 in 2007 and 151 in 2011.	1.0	True
10	settlers	Midewin remains the only federal tallgrass prairie preserve east of the Mississippi River, where surviving areas of that habitat are extremely rare. With the adjacent Des Plaines Fish and Wildlife Area and a number of other state and county protected areas in the immediate area, Midewin forms the heart of a conservation macrosite totaling more than 40,000 acres of protected land. The pre-European settlement vegetation map of Midewin shows most of the site was prairie prior to the arrival of European settlers. The northwestern corner of the site along Jackson Creek was forest.	Midewin bleibt das einzige Bundesreservat für Prärien im Osten des Mississippi River, wo überlebende Gebiete dieses Lebensraums äußerst selten sind. Zusammen mit dem angrenzenden Des Plaines Fish and Wildlife Area und einer Reihe anderer staatlicher und landkreisweiter geschützter Gebiete bildet Midewin das Herz eines Naturschutz-Makrozites, der mehr als 40.000 Morgen geschütztes Land umfasst. Die vor-europäische Besiedlungs-Vegetationskarte von Midewin zeigt, dass der größte Teil des Geländes vor der Ankunft der europäischen Siedler Prärie war. Der nordwestliche Teil des Geländes entlang des Jackson Creek war bewaldet.	M	4	Midewin remains the only federal tallgrass prairie preserve east of the Mississippi River, where surviving areas of that habitat are extremely rare. With the adjacent Des Plaines Fish and Wildlife Area and a number of other state and county protected areas in the immediate area, Midewin forms the heart of a conservation macrosite totaling more than 40,000 acres of protected land.	2.0	The pre-European settlement vegetation map of Midewin shows most of the site was prairie prior to the arrival of European settlers.	The northwestern corner of the site along Jackson Creek was forest.	1.0	True
11	settlers	The Dharug and Darkinjung people called the river Deerubbin and it was a vital source of food and transport. Governor Arthur Phillip explored the local area in search of suitable agricultural land in 1789 and discovered and named the Hawkesbury River after Baron Hawkesbury. This region played a significant role in the early development of the colony with European settlers established here by 1794. Situated on fertile floodplains and well known for its abundant agriculture, Green Hills (as it was originally called) supported the colony through desperate times.	Die Dharug- und Darkinjung-Leute nannten den Fluss Deerubbin, und er war eine lebenswichtige Nahrungs- und Transportquelle. Gouverneur Arthur Phillip erkundete das lokale Gebiet auf der Suche nach geeignetem Ackerland im Jahr 1789 und entdeckte und benannte den Hawkesbury River nach Baron Hawkesbury. Diese Region spielte eine bedeutende Rolle in der frühen Entwicklung der Kolonie, da europäische Siedler hier bis 1794 etabliert waren. Auf fruchtbaren Überschwemmungsebenen gelegen und für ihre reichhaltige Landwirtschaft bekannt, unterstützte Green Hills (wie es ursprünglich genannt wurde) die Kolonie in schwierigen Zeiten.	M	4	The Dharug and Darkinjung people called the river Deerubbin and it was a vital source of food and transport. Governor Arthur Phillip explored the local area in search of suitable agricultural land in 1789 and discovered and named the Hawkesbury River after Baron Hawkesbury.	2.0	This region played a significant role in the early development of the colony with European settlers established here by 1794.	Situated on fertile floodplains and well known for its abundant agriculture, Green Hills (as it was originally called) supported the colony through desperate times.	1.0	True
12	settlers	Since the majority of the European and African colonizers and enslaved laborers arrived without women, intermarriage often occurred with the remaining Taíno women. The offspring from these interracial relationships created a population of Mulattos and Mestizos. When the gold mines were declared depleted in 1570 and mining came to an end in Puerto Rico, the vast majority of the white Spanish settlers left the island to seek their fortunes in the richer colonies, such as Mexico, and the island became a Spanish garrison. The majority of those who stayed behind were either black or mulatto.	Da die Mehrheit der europäischen und afrikanischen Kolonialisten und versklavten Arbeiter ohne Frauen ankam, kam es häufig zur Vermischung mit den verbleibenden Frauen der Taíno. Die Nachkommen aus diesen gemischtrassigen Beziehungen bildeten eine Bevölkerung von Mulatten und Mestizen. Als die Goldminen im Jahr 1570 als ausgebeutet erklärt wurden und der Bergbau in Puerto Rico endete, verließen die meisten weißen spanischen Siedler die Insel, um ihr Glück in reicheren Kolonien wie Mexiko zu suchen, und die Insel wurde eine spanische Garnison. Die Mehrheit derjenigen, die zurückblieben, waren entweder schwarz oder mulatt.	M	4	Since the majority of the European and African colonizers and enslaved laborers arrived without women, intermarriage often occurred with the remaining Taíno women. The offspring from these interracial relationships created a population of Mulattos and Mestizos.	2.0	When the gold mines were declared depleted in 1570 and mining came to an end in Puerto Rico, the vast majority of the white Spanish settlers left the island to seek their fortunes in the richer colonies, such as Mexico, and the island became a Spanish garrison.	The majority of those who stayed behind were either black or mulatto.	1.0	True
18	recipients	Only 4% of the nonprofits Charity Navigator rates have received at least 5 consecutive 4-star evaluations. Charity Navigator evaluates non-profit performance and rates organizations. Kids Helping Kids Kids Helping Kids is a special program that unites groups of young people with dream recipients. There have been more than 30 schools, clubs and youth groups from civic, religious and service organizations that raised and donated funds.	"Nur 4% der von Charity Navigator bewerteten Non-Profit-Organisationen haben mindestens 5 aufeinanderfolgende 4-Sterne-Bewertungen erhalten. Charity Navigator bewertet die Leistung von Non-Profit-Organisationen und gibt ihnen Noten. ""Kids Helping Kids"" Kids Helping Kids ist ein spezielles Programm, das Gruppen junger Menschen mit Traumempfängern vereint. Es gab bereits über 30 Schulen, Clubs und Jugendgruppen von zivilen, religiösen und gemeinnützigen Organisationen, die Gelder gesammelt und gespendet haben."	M	4	Only 4% of the nonprofits Charity Navigator rates have received at least 5 consecutive 4-star evaluations. Charity Navigator evaluates non-profit performance and rates organizations.	2.0	Kids Helping Kids Kids Helping Kids is a special program that unites groups of young people with dream recipients.	There have been more than 30 schools, clubs and youth groups from civic, religious and service organizations that raised and donated funds.	1.0	True
