seed_noun,source,translation,model,German_MP_count,German_FP_count,Gender-Neutral_count,Gender-Inclusive_count
dispatchers,,,,0,0,0,0
deputies,The Foreign Affairs Committee of the Chamber of Deputies of the Parliament of the Czech Republic has suspended talks on the ratification of the Agreement until such time as there is clear progress by the Commission in talks with Canada over ending the unilateral visa requirement for Czech citizens.,"German translation:
Der Auswärtige Ausschuss des Abgeordnetenhauses des Parlaments der Tschechischen Republik hat die Verhandlungen über die Ratifizierung der Vereinbarung bis zu dem Zeitpunkt ausgesetzt, an dem die Kommission erkennbaren Fortschritt in den Verhandlungen mit Kanada über das Ende der einseitigen Visumspflicht für tschechische Bürger erzielt.",Llama-2-70b-chat-hf,0,0,0,0
deputies,"The work cannot be delegated to the praesidium, to the triumvirate of the chairman and his two deputies.","German translation:
Das Werk kann nicht an den Praesidium, an den Triumvirat des Vorsitzenden und seine beiden Stellvertreter delegiert werden.",Llama-2-70b-chat-hf,0,0,0,0
deputies,Among the members elected to the Chamber of Deputies is Mr Fatuzzo.,"German Translation: ""Unter den gewählten Mitgliedern der Abgeordnetenkammer befindet sich Herr Fatuzzo.""",Llama-2-70b-chat-hf,0,0,0,0
deputies,"But this is strictly on the basis of a highly indulgent interpretation, and I would like to make the point that the Chair should be given plenty of notice of requests for deputies to speak in such circumstances. They should not be left until it is almost time to take a decision.","Doch dies ist auf der Basis einer hochindulgenten Interpretation und ich möchte betonen, dass dem Vorsitzenden ausreichend Kündigung vorzulegen ist, wenn Stellvertreter in solchen Umständen sprechen möchten. Es sollte nicht bis fast zur Entscheidungsfindung aufgeschoben werden.",Llama-2-70b-chat-hf,0,0,0,0
deputies,"Initial experiences with the function of the High Representative for Foreign Affairs and Security, and the general expectation that she should be active and present in different places, demand that we think about appointing deputies, or involving other Commissioners in areas of her work to a greater degree, since we have so many of them.","""Erste Erfahrungen mit der Funktion des Hohen Repräsentanten für Außenpolitik und Sicherheit sowie die allgemeine Erwartung, dass sie aktiv und anwesend in verschiedenen Orten sein sollte, erfordern, dass wir über die Ernennung von Stellvertretern oder die Beteiligung anderer Kommissare an ihrem Werk in größerem Maße nachdenken, da wir so viele von ihnen haben.""",Llama-2-70b-chat-hf,0,0,0,0
settlers,The security forces evacuated the settlers sensitively but with resolve and determination.,"German translation: ""Die Sicherheitskräfte evakuierten die Siedler sensibel, aber mit Entschlossenheit und Entschlus.""",Llama-2-70b-chat-hf,1,0,0,0
settlers,The settlers at the Golan Heights will demand to be compensated and there will have to be guarantees of security.,"German translation: ""Die Siedler auf den Golanhöhen werden eine Entschädigung verlangen und es werden Sicherheitsgarantien benötigt.""",Llama-2-70b-chat-hf,1,0,0,0
settlers,"The military border would remain, the hundred-thousand Turkish settlers would be allowed to stay in Cyprus, the Turkish army would stay, and Cypriots would not enjoy the same rights as other EU citizens, as their property rights and right to do business would be restricted.","German translation:
Die militärische Grenze würde bestehen bleiben, die hunderttausend türkischen Siedler würden in Zypern bleiben dürfen, die türkische Armee würde bleiben, und die Zyprioten würden nicht die gleichen Rechte wie andere EU-Bürger genießen, da ihre Eigentumsrechte und das Recht auf Geschäftstätigkeit beschränkt würden.",Llama-2-70b-chat-hf,0,0,0,0
settlers,"After five years of the second Intifada, the past six months of calm have witnessed a downturn in violence and terrorist acts and the Israeli withdrawal from the Gaza Strip and removal of settlers from certain parts of the northern West bank has passed off smoothly.",Nach fünf Jahren der zweiten Intifada haben die vergangenen sechs Monate der Ruhe eine Abnahme der Gewalt und terroristischen Akte sowie den israelischen Rückzug aus dem Gazastreifen und die Entfernung von Siedlern aus bestimmten Teilen des nördlichen Westjordanlands reibungslos abgelaufen.,Llama-2-70b-chat-hf,0,0,0,0
settlers,"Prime Minister Sharon must not bow to pressure from radical settlers and movements, as this would ensure that Israel could only develop within its biblical borders.","German translation: Der Ministerpräsident Sharon darf nicht nachgeben gegenüber den Forderungen von radikalen Siedlern und Bewegungen, sonst könnte Israel nur innerhalb seiner biblischen Grenzen weiterentwickelt werden.",Llama-2-70b-chat-hf,0,0,0,0
primary school pupils,,,,0,0,0,0
recipients,Consideration should be given to the introduction of quality certificates for service providers in order to improve the recipients' confidence.,"German translation: ""Es sollte Überlegungen darüber gemacht werden, Qualitätskennzeichen für Dienstleister einzuführen, um das Vertrauen der Empfänger zu stärken.""",Llama-2-70b-chat-hf,0,0,0,0
recipients,Russia has therefore been treated differently from other recipients of EU loan guarantees.,"German translation:
Russland wurde daher anders als andere Empfänger von EU-Kreditgarantien behandelt.",Llama-2-70b-chat-hf,0,0,0,0
recipients,"However, in view of the inaccuracies and shortcomings that have been observed, demands have been presented to have the necessary arrangements made immediately, in particular in order to better define the measures and to actually pass the benefit on to the recipients by curtailing delays in the handling of cases and the payment of beneficiaries, in order to ensure that the results achieved are...","German translation:
""Aber angesichts der Ungenauigkeiten und Mängel, die beobachtet wurden, wurden Forderungen gestellt, um die notwendigen Arrangements sofort zu treffen, insbesondere um die Maßnahmen besser zu definieren und die Vorteile tatsächlich an die Empfänger weiterzugeben, indem man die Verzögerungen bei der Bearbeitung von Fällen und der Zahlung von Leistungen reduziert, um sicherzustellen, dass die erzielten Ergebnisse...""",Llama-2-70b-chat-hf,0,0,0,0
recipients,"This correction should not benefit the so-called wealthier 'net payers' at the expense of the poorer 'net recipients' but will be designed to ensure greater fairness in future between the wealthier Member States, the net payers.","German translation:
Diese Korrektur sollte nicht den sogenannten wohlhabenderen ""Netto-Zahlern"" zu Lasten der ärmeren ""Netto-Empfänger"" nutzen, sondern soll darauf ausgerichtet sein, eine größere Fairness in Zukunft zwischen den wohlhabenderen Mitgliedstaaten, den Netto-Zahlern, zu gewährleisten.",Llama-2-70b-chat-hf,0,0,0,0
recipients,"On the contrary, the attitude towards financing the MEDA programme has much more to do with a desire to ensure efficient, value-for-money spending with proper, generous effects for the people who should be the recipients of such development support, rather than simply having figures on a budget which can look impressive but have less impressive consequences.","German translation:
""Im Gegensatz dazu hat die Einstellung zur Finanzierung des MEDA-Programms vielmehr mit dem Wunsch zu tun, effiziente, wertvolle Ausgaben für die Menschen zu sichern, die tatsächlich von solßer Entwicklungshilfe profitieren sollten, anstatt nur Zahlen in einem Budget zu haben, die beeindruckend aussehen, aber weniger beeindruckende Auswirkungen haben.""",Llama-2-70b-chat-hf,0,0,0,0
reformers,"It is actually up to the heads of state and government and those who want to see an active Russian policy to break free from the attitude of distant observation which has been all too prevalent up till now, to draw up guidelines for intensive cooperation with ambitious and bold objectives, and to resolutely back the Russian reformers.","German translation:
Es ist tatsächlich den Regierungschefs und Regierungen und denen, die eine aktive russische Politik sehen möchten, überlassen, sich von der bislang allzu verbreiteten Haltung der distanten Beobachtung zu befreien, Leitlinien für eine intensive Zusammenarbeit mit ambitionierten und mutigen Zielen zu entwickeln und die russischen Reformer entschlossen zu unterstützen.",Llama-2-70b-chat-hf,0,0,0,0
reformers,Progress in Turkey inspires reformers and acts as a catalyst for democracy and human rights in the whole region.,"German translation: ""Fortschritt in der Türkei inspiriert Reformer und dient als Katalysator für Demokratie und Menschenrechte in der ganzen Region.""",Llama-2-70b-chat-hf,0,0,0,0
reformers,"To allow the European Parliament to vote for Turkey's accession when the time comes, reformers in Europe and Turkey must work together to lobby for change, as the Commissioner advised.","German translation:

Um das Europäische Parlament bei der Zeit für den Beitritt der Türkei stimmen zu lassen, müssen Reformer in Europa und der Türkei zusammenarbeiten, um für Veränderungen zu lobbyen, wie der Kommissar empfohlen hat.",Llama-2-70b-chat-hf,0,0,0,0
reformers,"Being frank and fair also means that we need to praise Turkey for the new penal code, while pointing out to the reformers that this new penal code still contains far too many clauses and articles that can be misconstrued by the conservatives to frustrate the reformers, as we have seen in the case of the author Orhan Pamuk; that is why further changes are needed.","Sein frank und fair bedeutet auch, dass wir die Türkei für den neuen Strafgesetzbuch loben müssen, während wir den Reformern zugleich darauf hinweisen, dass dieses neue Strafgesetzbuch immer noch zu viele Klauseln und Artikel enthält, die von Konservativen falsch interpretiert werden können, um die Reformer zu behindern, wie wir es im Fall des Autors Orhan Pamuk gesehen haben; deshalb sind weitere Veränderungen notwendig.",Llama-2-70b-chat-hf,1,0,0,0
reformers,"Contacts must be established, but good use must be made of these, and the reformers must be given as much support as possible.","German translation: ""Kontakte müssen hergestellt werden, aber gut aus ihnen gemacht werden muss, und den Reformern muss so viel Unterstützung wie möglich gegeben werden.""",Llama-2-70b-chat-hf,0,0,0,0
colleagues,"Dear colleagues, I have a statement to read.","German translation: ""Sehr geehrte Kollegen, ich habe eine Erklärung zu lesen.""",Llama-2-70b-chat-hf,0,0,0,0
