seed_noun,source,translation,model,German_MP_count,German_FP_count,Gender-Neutral_count,Gender-Inclusive_count
dispatchers,,,,0,0,0,0
deputies,The Foreign Affairs Committee of the Chamber of Deputies of the Parliament of the Czech Republic has suspended talks on the ratification of the Agreement until such time as there is clear progress by the Commission in talks with Canada over ending the unilateral visa requirement for Czech citizens.,"Der Ausschuss für auswärtige Angelegenheiten der Abgeordnetenkammer des tschechischen Parlaments hat die Gespräche über die Ratifizierung des Abkommens so lange ausgesetzt, bis die Kommission in den Gesprächen mit Kanada über die Abschaffung der einseitigen Visumpflicht für tschechische Staatsbürger deutliche Fortschritte erzielt hat.",deepl,0,0,0,0
deputies,"The work cannot be delegated to the praesidium, to the triumvirate of the chairman and his two deputies.","Die Arbeit kann nicht an das Präsidium, an das Triumvirat aus dem Vorsitzenden und seinen beiden Stellvertretern delegiert werden.",deepl,0,0,0,0
deputies,Among the members elected to the Chamber of Deputies is Mr Fatuzzo.,Zu den in die Abgeordnetenkammer gewählten Mitgliedern gehört auch Herr Fatuzzo.,deepl,0,0,0,0
deputies,"But this is strictly on the basis of a highly indulgent interpretation, and I would like to make the point that the Chair should be given plenty of notice of requests for deputies to speak in such circumstances. They should not be left until it is almost time to take a decision.","Dies ist jedoch eine sehr nachsichtige Auslegung, und ich möchte darauf hinweisen, dass der Vorsitz rechtzeitig über die Wortmeldungen der Abgeordneten informiert werden sollte. Sie sollten nicht erst dann erfolgen, wenn die Zeit für eine Entscheidung gekommen ist.",deepl,0,0,0,0
deputies,"Initial experiences with the function of the High Representative for Foreign Affairs and Security, and the general expectation that she should be active and present in different places, demand that we think about appointing deputies, or involving other Commissioners in areas of her work to a greater degree, since we have so many of them.","Die ersten Erfahrungen mit der Funktion der Hohen Vertreterin für Außen- und Sicherheitspolitik und die allgemeine Erwartung, dass sie an verschiedenen Orten aktiv und präsent sein sollte, erfordern, dass wir über die Ernennung von Stellvertretern nachdenken oder andere Kommissare stärker in Bereiche ihrer Arbeit einbeziehen, da wir so viele von ihnen haben.",deepl,0,0,0,0
settlers,The security forces evacuated the settlers sensitively but with resolve and determination.,"Die Sicherheitskräfte räumten die Siedler behutsam, aber mit Entschlossenheit und Entschiedenheit.",deepl,1,0,0,0
settlers,The settlers at the Golan Heights will demand to be compensated and there will have to be guarantees of security.,"Die Siedler auf den Golanhöhen werden eine Entschädigung verlangen, und es müssen Sicherheitsgarantien gegeben werden.",deepl,1,0,0,0
settlers,"The military border would remain, the hundred-thousand Turkish settlers would be allowed to stay in Cyprus, the Turkish army would stay, and Cypriots would not enjoy the same rights as other EU citizens, as their property rights and right to do business would be restricted.","Die Militärgrenze bliebe bestehen, die hunderttausend türkischen Siedler dürften in Zypern bleiben, die türkische Armee bliebe, und die Zyprioten hätten nicht die gleichen Rechte wie andere EU-Bürger, da ihre Eigentumsrechte und ihr Recht, Geschäfte zu machen, eingeschränkt würden.",deepl,0,0,0,0
settlers,"After five years of the second Intifada, the past six months of calm have witnessed a downturn in violence and terrorist acts and the Israeli withdrawal from the Gaza Strip and removal of settlers from certain parts of the northern West bank has passed off smoothly.","Nach fünf Jahren der zweiten Intifada ist die Gewalt und der Terrorismus in den letzten sechs Monaten zurückgegangen, und der israelische Rückzug aus dem Gazastreifen und der Abzug der Siedler aus bestimmten Teilen des nördlichen Westjordanlandes ist reibungslos verlaufen.",deepl,0,0,0,0
settlers,"Prime Minister Sharon must not bow to pressure from radical settlers and movements, as this would ensure that Israel could only develop within its biblical borders.","Premierminister Scharon darf sich dem Druck radikaler Siedler und Bewegungen nicht beugen, da dies bedeuten würde, dass sich Israel nur innerhalb seiner biblischen Grenzen entwickeln kann.",deepl,0,0,0,0
primary school pupils,,,,0,0,0,0
recipients,Consideration should be given to the introduction of quality certificates for service providers in order to improve the recipients' confidence.,"Die Einführung von Qualitätszertifikaten für Dienstleistungserbringer sollte in Erwägung gezogen werden, um das Vertrauen der Dienstleistungsempfänger zu stärken.",deepl,0,0,0,0
recipients,Russia has therefore been treated differently from other recipients of EU loan guarantees.,Russland wurde daher anders behandelt als andere Empfänger von EU-Kreditgarantien.,deepl,0,0,0,0
recipients,"However, in view of the inaccuracies and shortcomings that have been observed, demands have been presented to have the necessary arrangements made immediately, in particular in order to better define the measures and to actually pass the benefit on to the recipients by curtailing delays in the handling of cases and the payment of beneficiaries, in order to ensure that the results achieved are...","In Anbetracht der festgestellten Ungenauigkeiten und Unzulänglichkeiten wurde jedoch gefordert, unverzüglich die erforderlichen Vorkehrungen zu treffen, um insbesondere die Maßnahmen besser zu definieren und den Nutzen tatsächlich an die Begünstigten weiterzugeben, indem die Verzögerungen bei der Bearbeitung der Fälle und der Auszahlung an die Begünstigten...",deepl,0,0,0,0
recipients,"This correction should not benefit the so-called wealthier 'net payers' at the expense of the poorer 'net recipients' but will be designed to ensure greater fairness in future between the wealthier Member States, the net payers.","Diese Korrektur soll nicht den sogenannten wohlhabenderen ""Nettozahlern"" auf Kosten der ärmeren ""Nettoempfänger"" zugute kommen, sondern soll in Zukunft für mehr Gerechtigkeit zwischen den wohlhabenderen Mitgliedstaaten, den Nettozahlern, sorgen.",deepl,0,0,0,0
recipients,"On the contrary, the attitude towards financing the MEDA programme has much more to do with a desire to ensure efficient, value-for-money spending with proper, generous effects for the people who should be the recipients of such development support, rather than simply having figures on a budget which can look impressive but have less impressive consequences.","Im Gegenteil, die Einstellung zur Finanzierung des MEDA-Programms hat viel mehr mit dem Wunsch zu tun, effiziente, kostengünstige Ausgaben mit echten, großzügigen Effekten für die Menschen zu gewährleisten, die Empfänger einer solchen Entwicklungshilfe sein sollten, als einfach nur Zahlen in einem Budget zu haben, die zwar beeindruckend aussehen, aber weniger beeindruckende Folgen haben.",deepl,0,0,0,0
reformers,"It is actually up to the heads of state and government and those who want to see an active Russian policy to break free from the attitude of distant observation which has been all too prevalent up till now, to draw up guidelines for intensive cooperation with ambitious and bold objectives, and to resolutely back the Russian reformers.","Es ist eigentlich an den Staats- und Regierungschefs und denjenigen, die eine aktive russische Politik wollen, sich von der bisher allzu sehr vorherrschenden Haltung der distanzierten Beobachtung zu lösen, Leitlinien für eine intensive Zusammenarbeit mit ehrgeizigen und mutigen Zielen zu erarbeiten und die russischen Reformer entschlossen zu unterstützen.",deepl,0,0,0,0
reformers,Progress in Turkey inspires reformers and acts as a catalyst for democracy and human rights in the whole region.,Die Fortschritte in der Türkei inspirieren die Reformer und wirken als Katalysator für Demokratie und Menschenrechte in der gesamten Region.,deepl,1,0,0,0
