seed_noun,source,translation,model,German_MP_count,German_FP_count,Gender-Neutral_count,Gender-Inclusive_count
dispatchers,,,,0,0,0,0
deputies,The Foreign Affairs Committee of the Chamber of Deputies of the Parliament of the Czech Republic has suspended talks on the ratification of the Agreement until such time as there is clear progress by the Commission in talks with Canada over ending the unilateral visa requirement for Czech citizens.,"Die Ausschuß für Auswärtige Angelegenheiten des Chambers der Abgeordneten des Parlaments der Tschechischen Republik hat die Verhandlungen über die Ratifizierung des Vertrages geschlossen, bis die Kommission klare Fortschritte in den Gesprächen mit Kanada zur Beseitigung der einseitigen Visapflicht für Tschechische Staatsbürger erreicht hat.",flan-t5-xxl,0,0,0,0
deputies,"The work cannot be delegated to the praesidium, to the triumvirate of the chairman and his two deputies.","Die Arbeit kann nicht dem Präsidium, dem Triumvirat des Vorsitzenden und seiner beiden Kolleginnen und Kollegen übertragen werden.",flan-t5-xxl,0,0,0,0
deputies,Among the members elected to the Chamber of Deputies is Mr Fatuzzo.,Among the members elected to the Chamber of Deputies is Mr Fatuzzo.,flan-t5-xxl,0,0,0,0
deputies,"But this is strictly on the basis of a highly indulgent interpretation, and I would like to make the point that the Chair should be given plenty of notice of requests for deputies to speak in such circumstances. They should not be left until it is almost time to take a decision.","Ich möchte jedoch darauf hinweisen, daß der Vorsitz in solchen Fällen möglichst viel Vorsicht gegeben werden sollte, d. h. es sollte nicht so lange dauern, bis es nahe der Zeit ist, eine Entscheidung zu treffen.",flan-t5-xxl,0,0,0,0
deputies,"Initial experiences with the function of the High Representative for Foreign Affairs and Security, and the general expectation that she should be active and present in different places, demand that we think about appointing deputies, or involving other Commissioners in areas of her work to a greater degree, since we have so many of them.","Die ersten Erfahrungen mit der Funktion der Hochrepräsentantin für Auswärtige Angelegenheiten und Sicherheit und die allgemeinen Erwartungen, dass sie in verschiedenen Orten aktiv und präsent sein sollte, erfordern, dass wir darüber nachdenken, ob wir Deputys ernannten oder andere Kommissare stärker in die Bereiche ihrer Arbeit einbezogen, weil wir so viele von ihnen haben.",flan-t5-xxl,0,0,0,0
settlers,The security forces evacuated the settlers sensitively but with resolve and determination.,"Die Sicherheitstruppen ergriffen die Settler senkrecht, aber mit Entschlossenheit und Entschlossenheit.",flan-t5-xxl,0,0,0,0
settlers,The settlers at the Golan Heights will demand to be compensated and there will have to be guarantees of security.,"Die Einwanderer auf den Golaner Höhen werden kompensiert, und es müssen Sicherheitsgarantien geben.",flan-t5-xxl,0,0,0,0
settlers,"The military border would remain, the hundred-thousand Turkish settlers would be allowed to stay in Cyprus, the Turkish army would stay, and Cypriots would not enjoy the same rights as other EU citizens, as their property rights and right to do business would be restricted.","Die militärische Grenze würde bleiben, die Hunderttausende türkischen Settler in Zypern bleiben würden, die türkische Armee bleiben würde, und die Zyperner würden nicht die gleichen Rechte wie andere EU-Bürger genießen, weil ihre Eigentumsrechte und ihr Recht auf Geschäftstätigkeit eingeschränkt wären.",flan-t5-xxl,0,0,0,0
settlers,"After five years of the second Intifada, the past six months of calm have witnessed a downturn in violence and terrorist acts and the Israeli withdrawal from the Gaza Strip and removal of settlers from certain parts of the northern West bank has passed off smoothly.","Nach fünf Jahren der zweiten Intifada hat sich in den letzten sechs Monaten eine Verringerung der Gewalt und der Terroranschläge erkennbar gemacht, und die israelische Rückzug aus dem Gaza-Streifen und die Abzug von Settlern aus bestimmten Teilen des nordwestlichen Westjordanlands hat sich problemlos erledigt.",flan-t5-xxl,0,0,0,0
settlers,"Prime Minister Sharon must not bow to pressure from radical settlers and movements, as this would ensure that Israel could only develop within its biblical borders.","Prime Minister Sharon muß sich nicht auf die Drucke der radikalen Settler und Bewegungen weichen, denn das würde sichern, dass Israel nur innerhalb seiner biblischen Grenzen entwickeln kann.",flan-t5-xxl,0,0,0,0
primary school pupils,,,,0,0,0,0
recipients,Consideration should be given to the introduction of quality certificates for service providers in order to improve the recipients' confidence.,"Es sollte die Einführung von Qualitätsbescheinigungen für Anbieter von Diensten in Betracht gezogen werden, um die Vertrauen der Empfänger zu steigern.",flan-t5-xxl,0,0,0,0
