seed_noun,source,translation,model,German_MP_count,German_FP_count,Gender-Neutral_count,Gender-Inclusive_count
dispatchers,,,,0,0,0,0
deputies,The Foreign Affairs Committee of the Chamber of Deputies of the Parliament of the Czech Republic has suspended talks on the ratification of the Agreement until such time as there is clear progress by the Commission in talks with Canada over ending the unilateral visa requirement for Czech citizens.,"Der Ausschuss für auswärtige Angelegenheiten der Abgeordnetenkammer des Parlaments der Tschechischen Republik hat die Gespräche über die Ratifizierung des Abkommens ausgesetzt, bis klare Fortschritte der Kommission in den Gesprächen mit Kanada über die Abschaffung der einseitigen Visumpflicht für tschechische Staatsbürger zu verzeichnen sind.",google-translate,0,0,0,0
deputies,"The work cannot be delegated to the praesidium, to the triumvirate of the chairman and his two deputies.","Die Arbeit kann nicht dem Präsidium, dem Triumvirat des Vorsitzenden und seinen beiden Stellvertretern, übertragen werden.",google-translate,0,0,0,0
deputies,Among the members elected to the Chamber of Deputies is Mr Fatuzzo.,Zu den in die Abgeordnetenkammer gewählten Mitgliedern gehört auch Herr Fatuzzo.,google-translate,0,0,0,0
deputies,"But this is strictly on the basis of a highly indulgent interpretation, and I would like to make the point that the Chair should be given plenty of notice of requests for deputies to speak in such circumstances. They should not be left until it is almost time to take a decision.","Dies geschieht jedoch ausschließlich auf der Grundlage einer äußerst nachsichtigen Auslegung, und ich möchte darauf hinweisen, dass der Vorsitzende rechtzeitig über Redeaufforderungen an Stellvertreter unter solchen Umständen informiert werden sollte. Sie sollten nicht allein gelassen werden, bis es fast an der Zeit ist, eine Entscheidung zu treffen.",google-translate,0,0,0,0
deputies,"Initial experiences with the function of the High Representative for Foreign Affairs and Security, and the general expectation that she should be active and present in different places, demand that we think about appointing deputies, or involving other Commissioners in areas of her work to a greater degree, since we have so many of them.","Erste Erfahrungen mit der Funktion der Hohen Vertreterin für Auswärtige Angelegenheiten und Sicherheit und die allgemeine Erwartung, dass sie an verschiedenen Orten aktiv und präsent sein soll, erfordern, dass wir über die Ernennung von Stellvertretern oder die Einbeziehung anderer Kommissare in ihre Arbeitsbereiche in größerem Umfang nachdenken Grad, da wir so viele davon haben.",google-translate,0,0,0,0
settlers,The security forces evacuated the settlers sensitively but with resolve and determination.,"Die Sicherheitskräfte evakuierten die Siedler behutsam, aber entschlossen und entschlossen.",google-translate,1,0,0,0
settlers,The settlers at the Golan Heights will demand to be compensated and there will have to be guarantees of security.,Die Siedler auf den Golanhöhen werden eine Entschädigung fordern und es müssen Sicherheitsgarantien gegeben sein.,google-translate,1,0,0,0
settlers,"The military border would remain, the hundred-thousand Turkish settlers would be allowed to stay in Cyprus, the Turkish army would stay, and Cypriots would not enjoy the same rights as other EU citizens, as their property rights and right to do business would be restricted.","Die Militärgrenze würde bestehen bleiben, die hunderttausend türkischen Siedler dürften auf Zypern bleiben, die türkische Armee würde bleiben und die Zyprioten würden nicht die gleichen Rechte genießen wie andere EU-Bürger, wie ihre Eigentumsrechte und das Recht, Geschäfte zu tätigen eingeschränkt.",google-translate,0,0,0,0
settlers,"After five years of the second Intifada, the past six months of calm have witnessed a downturn in violence and terrorist acts and the Israeli withdrawal from the Gaza Strip and removal of settlers from certain parts of the northern West bank has passed off smoothly.","Nach fünf Jahren der zweiten Intifada kam es in den letzten sechs Monaten der Ruhe zu einem Rückgang von Gewalt und Terroranschlägen, und der israelische Rückzug aus dem Gazastreifen und die Vertreibung von Siedlern aus bestimmten Teilen des nördlichen Westjordanlandes verliefen reibungslos.",google-translate,0,0,0,0
settlers,"Prime Minister Sharon must not bow to pressure from radical settlers and movements, as this would ensure that Israel could only develop within its biblical borders.","Premierminister Sharon darf sich nicht dem Druck radikaler Siedler und Bewegungen beugen, da dies sicherstellen würde, dass sich Israel nur innerhalb seiner biblischen Grenzen entwickeln könnte.",google-translate,0,0,0,0
primary school pupils,,,,0,0,0,0
recipients,Consideration should be given to the introduction of quality certificates for service providers in order to improve the recipients' confidence.,"Um das Vertrauen der Empfänger zu stärken, sollte über die Einführung von Qualitätszertifikaten für Dienstleister nachgedacht werden.",google-translate,0,0,0,0
recipients,Russia has therefore been treated differently from other recipients of EU loan guarantees.,Russland wurde daher anders behandelt als andere Empfänger von EU-Kreditgarantien.,google-translate,0,0,0,0
recipients,"However, in view of the inaccuracies and shortcomings that have been observed, demands have been presented to have the necessary arrangements made immediately, in particular in order to better define the measures and to actually pass the benefit on to the recipients by curtailing delays in the handling of cases and the payment of beneficiaries, in order to ensure that the results achieved are...","Angesichts der festgestellten Ungenauigkeiten und Mängel wird jedoch gefordert, dass umgehend die notwendigen Vorkehrungen getroffen werden, insbesondere um die Maßnahmen besser zu definieren und den Nutzen durch die Verringerung von Verzögerungen tatsächlich an die Empfänger weiterzugeben Bearbeitung der Fälle und Auszahlung der Begünstigten, um sicherzustellen, dass die erzielten Ergebnisse...",google-translate,0,0,0,0
recipients,"This correction should not benefit the so-called wealthier 'net payers' at the expense of the poorer 'net recipients' but will be designed to ensure greater fairness in future between the wealthier Member States, the net payers.","Diese Korrektur soll nicht den sogenannten vermögenderen „Nettozahlern“ auf Kosten der ärmeren „Nettoempfänger“ zugute kommen, sondern soll künftig für mehr Gerechtigkeit zwischen den vermögenderen Mitgliedstaaten, den Nettozahlern, sorgen.",google-translate,0,0,0,0
recipients,"On the contrary, the attitude towards financing the MEDA programme has much more to do with a desire to ensure efficient, value-for-money spending with proper, generous effects for the people who should be the recipients of such development support, rather than simply having figures on a budget which can look impressive but have less impressive consequences.","Im Gegenteil, die Haltung gegenüber der Finanzierung des MEDA-Programms hat viel mehr mit dem Wunsch zu tun, effiziente, preiswerte Ausgaben mit angemessenen, großzügigen Auswirkungen für die Menschen zu gewährleisten, die Empfänger einer solchen Entwicklungsunterstützung sein sollten, als nur Zahlen zu einem Budget zu haben, die beeindruckend aussehen können, aber weniger beeindruckende Konsequenzen haben.",google-translate,0,0,0,0
reformers,"It is actually up to the heads of state and government and those who want to see an active Russian policy to break free from the attitude of distant observation which has been all too prevalent up till now, to draw up guidelines for intensive cooperation with ambitious and bold objectives, and to resolutely back the Russian reformers.","Eigentlich ist es die Aufgabe der Staats- und Regierungschefs und derjenigen, die eine aktive Russlandpolitik sehen wollen, sich von der bisher allzu vorherrschenden Haltung der distanzierten Beobachtung zu lösen und Leitlinien für eine intensive Zusammenarbeit mit ambitionierten und anspruchsvollen Akteuren zu erarbeiten mutige Ziele zu verfolgen und die russischen Reformer entschieden zu unterstützen.",google-translate,0,0,0,0
