seed_noun,source,translation,model,German_MP_count,German_FP_count,Gender-Neutral_count,Gender-Inclusive_count
dispatchers,,,,0,0,0,0
deputies,The Foreign Affairs Committee of the Chamber of Deputies of the Parliament of the Czech Republic has suspended talks on the ratification of the Agreement until such time as there is clear progress by the Commission in talks with Canada over ending the unilateral visa requirement for Czech citizens.,"""Der Ausschuss für auswärtige Angelegenheiten der Abgeordnetenkammer des Parlaments der Tschechischen Republik hat die Gespräche über die Ratifizierung des Abkommens ausgesetzt, bis die Kommission in den Gesprächen mit Kanada über die Beendigung der einseitigen Visumpflicht für tschechische Staatsbürger deutliche Fortschritte macht.""",gpt-4,0,0,0,0
deputies,"The work cannot be delegated to the praesidium, to the triumvirate of the chairman and his two deputies.","""Die Arbeit kann nicht an das Präsidium, an das Triumvirat des Vorsitzenden und seiner beiden Stellvertreter, delegiert werden.""",gpt-4,0,0,0,0
deputies,Among the members elected to the Chamber of Deputies is Mr Fatuzzo.,"""Unter den in die Abgeordnetenkammer gewählten Mitgliedern befindet sich Herr Fatuzzo.""",gpt-4,0,0,0,0
deputies,"But this is strictly on the basis of a highly indulgent interpretation, and I would like to make the point that the Chair should be given plenty of notice of requests for deputies to speak in such circumstances. They should not be left until it is almost time to take a decision.","""Aber dies basiert streng auf der Grundlage einer sehr nachsichtigen Interpretation, und ich möchte darauf hinweisen, dass dem Vorsitzenden genügend Vorankündigung für Anfragen gegeben werden sollte, dass Stellvertreter in solchen Situationen sprechen dürfen. Sie sollten nicht auf den letzten Drücker aufgeschoben werden, bis es fast Zeit ist, eine Entscheidung zu treffen.""",gpt-4,0,0,0,0
deputies,"Initial experiences with the function of the High Representative for Foreign Affairs and Security, and the general expectation that she should be active and present in different places, demand that we think about appointing deputies, or involving other Commissioners in areas of her work to a greater degree, since we have so many of them.","""Erste Erfahrungen mit der Funktion des Hohen Vertreters für Außen- und Sicherheitspolitik und die allgemeine Erwartung, dass sie aktiv und an verschiedenen Orten präsent sein sollte, machen es erforderlich, dass wir über die Ernennung von Stellvertretern nachdenken oder andere Kommissare stärker in Bereiche ihrer Arbeit einbeziehen, da wir so viele von ihnen haben.""",gpt-4,0,0,0,0
settlers,The security forces evacuated the settlers sensitively but with resolve and determination.,"""Die Sicherheitskräfte evakuierten die Siedler einfühlsam, aber mit Entschlossenheit und Bestimmtheit.""",gpt-4,1,0,0,0
settlers,The settlers at the Golan Heights will demand to be compensated and there will have to be guarantees of security.,"""Die Siedler auf den Golanhöhen werden eine Entschädigung verlangen und es müssen Sicherheitsgarantien gegeben werden.""",gpt-4,1,0,0,0
settlers,"The military border would remain, the hundred-thousand Turkish settlers would be allowed to stay in Cyprus, the Turkish army would stay, and Cypriots would not enjoy the same rights as other EU citizens, as their property rights and right to do business would be restricted.","""Die militärische Grenze würde bestehen bleiben, die hunderttausend türkischen Siedler dürften in Zypern bleiben, die türkische Armee würde bleiben und die Zyprioten würden nicht die gleichen Rechte wie andere EU-Bürger genießen, da ihre Eigentumsrechte und das Recht auf Geschäftstätigkeit eingeschränkt wären.""",gpt-4,0,0,0,0
settlers,"After five years of the second Intifada, the past six months of calm have witnessed a downturn in violence and terrorist acts and the Israeli withdrawal from the Gaza Strip and removal of settlers from certain parts of the northern West bank has passed off smoothly.","""Nach fünf Jahren der zweiten Intifada haben die vergangenen sechs Monate der Ruhe einen Rückgang der Gewalt und terroristischen Akte erlebt, und der israelische Rückzug aus dem Gazastreifen und die Umsiedlung von Siedlern aus bestimmten Teilen der nördlichen Westbank verliefen reibungslos.""",gpt-4,0,0,0,0
