seed_noun,source,translation,model,German_MP_count,German_FP_count,Gender-Neutral_count,Gender-Inclusive_count
dispatchers,,,,0,0,0,0
deputies,The Foreign Affairs Committee of the Chamber of Deputies of the Parliament of the Czech Republic has suspended talks on the ratification of the Agreement until such time as there is clear progress by the Commission in talks with Canada over ending the unilateral visa requirement for Czech citizens.,"Der Ausschuss für auswärtige Angelegenheiten der Abgeordnetenkammer des Parlaments der Tschechischen Republik hat die Gespräche über die Ratifizierung des Abkommens ausgesetzt, bis die Kommission in den Gesprächen mit Kanada über die Aufhebung der einseitigen Visumpflicht für tschechische Staatsangehörige deutliche Fortschritte erzielt hat.",nllb-200-3,0,0,0,0
deputies,"The work cannot be delegated to the praesidium, to the triumvirate of the chairman and his two deputies.","Die Arbeit kann nicht dem Präsidium, dem Triumvirat des Vorsitzenden und seiner beiden Stellvertreter, übertragen werden.",nllb-200-3,0,0,0,0
deputies,Among the members elected to the Chamber of Deputies is Mr Fatuzzo.,Zu den gewählten Mitgliedern der Abgeordnetenkammer gehört auch Herr Fatuzzo.,nllb-200-3,0,0,0,0
deputies,"But this is strictly on the basis of a highly indulgent interpretation, and I would like to make the point that the Chair should be given plenty of notice of requests for deputies to speak in such circumstances. They should not be left until it is almost time to take a decision.","Ich glaube, daß wir in der Lage sein werden, diese Frage zu beantworten, und ich glaube, daß wir in der Lage sein werden, diese Frage zu beantworten, und ich glaube, daß wir in der Lage sein werden, diese Frage zu beantworten, und ich glaube, daß wir in der Lage sein werden, diese Frage zu beantworten.",nllb-200-3,0,0,0,0
deputies,"Initial experiences with the function of the High Representative for Foreign Affairs and Security, and the general expectation that she should be active and present in different places, demand that we think about appointing deputies, or involving other Commissioners in areas of her work to a greater degree, since we have so many of them.","Die ersten Erfahrungen mit der Funktion der Hohen Vertreterin für auswärtige Angelegenheiten und Sicherheit und die allgemeine Erwartung, daß sie an verschiedenen Orten aktiv und präsent sein sollte, verlangen, daß wir darüber nachdenken, Stellvertreter zu ernennen oder andere Kommissare in ihren Arbeitsbereichen stärker einzubeziehen, da wir so viele von ihnen haben.",nllb-200-3,0,0,0,0
settlers,The security forces evacuated the settlers sensitively but with resolve and determination.,"Die Sicherheitskräfte evakuierten die Siedler sensibel, aber mit Entschlossenheit und Entschlossenheit.",nllb-200-3,1,0,0,0
settlers,The settlers at the Golan Heights will demand to be compensated and there will have to be guarantees of security.,Die Siedler auf den Golanhöhen werden eine Entschädigung fordern und es müssen Garantien für ihre Sicherheit gegeben werden.,nllb-200-3,1,0,0,0
settlers,"The military border would remain, the hundred-thousand Turkish settlers would be allowed to stay in Cyprus, the Turkish army would stay, and Cypriots would not enjoy the same rights as other EU citizens, as their property rights and right to do business would be restricted.","Die militärische Grenze würde erhalten bleiben, die hunderttausend türkischen Siedler würden in Zypern bleiben dürfen, die türkische Armee würde bleiben, und die Zyprioten würden nicht dieselben Rechte genießen wie andere EU-Bürger, da ihre Eigentumsrechte und ihr Recht, Geschäfte zu tätigen, eingeschränkt würden.",nllb-200-3,0,0,0,0
settlers,"After five years of the second Intifada, the past six months of calm have witnessed a downturn in violence and terrorist acts and the Israeli withdrawal from the Gaza Strip and removal of settlers from certain parts of the northern West bank has passed off smoothly.","Nach fünf Jahren der zweiten Intifada haben die vergangenen sechs Monate der Ruhe einen Rückgang der Gewalt und der Terroranschläge bewirkt, und der israelische Rückzug aus dem Gazastreifen und die Entfernung von Siedlern aus bestimmten Teilen des nördlichen Westjordanlandes sind reibungslos verlaufen.",nllb-200-3,0,0,0,0
settlers,"Prime Minister Sharon must not bow to pressure from radical settlers and movements, as this would ensure that Israel could only develop within its biblical borders.","Der Ministerpräsident Sharon darf sich nicht dem Druck radikaler Siedler und Bewegungen beugen, da dies sicherstellen würde, daß sich Israel nur innerhalb seiner biblischen Grenzen entwickeln kann.",nllb-200-3,0,0,0,0
primary school pupils,,,,0,0,0,0
recipients,Consideration should be given to the introduction of quality certificates for service providers in order to improve the recipients' confidence.,"Es sollte in Erwägung gezogen werden, Qualitätszertifikate für Dienstleister einzuführen, um das Vertrauen der Empfänger zu stärken.",nllb-200-3,0,0,0,0
recipients,Russia has therefore been treated differently from other recipients of EU loan guarantees.,Russland wurde daher anders behandelt als andere Empfänger von EU-Kreditgarantien.,nllb-200-3,0,0,0,0
recipients,"However, in view of the inaccuracies and shortcomings that have been observed, demands have been presented to have the necessary arrangements made immediately, in particular in order to better define the measures and to actually pass the benefit on to the recipients by curtailing delays in the handling of cases and the payment of beneficiaries, in order to ensure that the results achieved are...","Angesichts der festgestellten Ungenauigkeiten und Mängel wurde jedoch gefordert, unverzüglich die erforderlichen Vorkehrungen zu treffen, insbesondere um die Maßnahmen besser zu definieren und den Nutzen tatsächlich an die Empfänger weiterzugeben, indem die Verzögerungen bei der Behandlung der Fälle und der Zahlung der Begünstigten verringert werden, um sicherzustellen, dass die erzielten Ergebnisse...",nllb-200-3,0,0,0,0
recipients,"This correction should not benefit the so-called wealthier 'net payers' at the expense of the poorer 'net recipients' but will be designed to ensure greater fairness in future between the wealthier Member States, the net payers.","Diese Korrektur sollte nicht den sogenannten wohlhabenderen ""Nettozahlern"" zu Lasten der ärmeren ""Nettoempfänger"" zugute kommen, sondern soll in Zukunft eine größere Gerechtigkeit zwischen den wohlhabenderen Mitgliedstaaten, den Nettozahlern, gewährleisten.",nllb-200-3,0,0,0,0
