seed_noun,source,translation,model,German_MP_count,German_FP_count,Gender-Neutral_count,Gender-Inclusive_count
dispatchers,,,,0,0,0,0
deputies,The Foreign Affairs Committee of the Chamber of Deputies of the Parliament of the Czech Republic has suspended talks on the ratification of the Agreement until such time as there is clear progress by the Commission in talks with Canada over ending the unilateral visa requirement for Czech citizens.,"Der Ausschuss für auswärtige Angelegenheiten der Abgeordnetenkammer des Parlaments der Tschechischen Republik hat die Gespräche über die Ratifizierung des Abkommens ausgesetzt, bis die Kommission klare Fortschritte bei den Gesprächen mit Kanada über die Beendigung der einseitigen Visumpflicht für tschechische Bürger erzielt hat.",opus-mt,0,0,0,0
deputies,"The work cannot be delegated to the praesidium, to the triumvirate of the chairman and his two deputies.","Die Arbeiten können nicht dem Präsidium, dem Triumvirat des Vorsitzenden und seinen beiden Stellvertretern übertragen werden.",opus-mt,0,0,0,0
deputies,Among the members elected to the Chamber of Deputies is Mr Fatuzzo.,Zu den in die Abgeordnetenkammer gewählten Mitgliedern gehört Herr Fatuzzo.,opus-mt,0,0,0,0
deputies,"But this is strictly on the basis of a highly indulgent interpretation, and I would like to make the point that the Chair should be given plenty of notice of requests for deputies to speak in such circumstances. They should not be left until it is almost time to take a decision.","Ich möchte jedoch darauf hinweisen, daß der Vorsitz unter diesen Umständen eine große Zahl von Anträgen an die Abgeordneten stellen muß, die das Wort ergreifen, und sie sollten nicht so lange zurückbleiben, bis eine Entscheidung getroffen wird.",opus-mt,0,0,0,0
deputies,"Initial experiences with the function of the High Representative for Foreign Affairs and Security, and the general expectation that she should be active and present in different places, demand that we think about appointing deputies, or involving other Commissioners in areas of her work to a greater degree, since we have so many of them.","Die ersten Erfahrungen mit der Funktion der Hohen Vertreterin für auswärtige Angelegenheiten und Sicherheit und die allgemeine Erwartung, dass sie an verschiedenen Orten aktiv und präsent sein sollte, fordern, dass wir über die Ernennung von Abgeordneten nachdenken oder andere Kommissare in Bereichen ihrer Arbeit stärker einbeziehen, da wir so viele von ihnen haben.",opus-mt,0,0,0,0
settlers,The security forces evacuated the settlers sensitively but with resolve and determination.,"Die Sicherheitskräfte evakuierten die Siedler sensibel, aber mit Entschlossenheit und Entschlossenheit.",opus-mt,1,0,0,0
settlers,The settlers at the Golan Heights will demand to be compensated and there will have to be guarantees of security.,Die Siedler auf den Golanhöhen werden eine Entschädigung verlangen und es muss Sicherheitsgarantien geben.,opus-mt,1,0,0,0
settlers,"The military border would remain, the hundred-thousand Turkish settlers would be allowed to stay in Cyprus, the Turkish army would stay, and Cypriots would not enjoy the same rights as other EU citizens, as their property rights and right to do business would be restricted.","Die militärische Grenze bliebe bestehen, die hunderttausend türkischen Siedler würden in Zypern bleiben, die türkische Armee würde bleiben, und Zyprioten würden nicht die gleichen Rechte wie andere EU-Bürger genießen, da ihr Eigentumsrecht und ihr Recht auf Geschäftstätigkeit eingeschränkt würden.",opus-mt,0,0,0,0
settlers,"After five years of the second Intifada, the past six months of calm have witnessed a downturn in violence and terrorist acts and the Israeli withdrawal from the Gaza Strip and removal of settlers from certain parts of the northern West bank has passed off smoothly.","Nach fünf Jahren der zweiten Intifada haben die letzten sechs Monate der Ruhe einen Rückgang der Gewalt und terroristischen Handlungen erlebt, und der israelische Rückzug aus dem Gazastreifen und die Entfernung von Siedlern aus bestimmten Teilen des Nord-West-Bank ist reibungslos verlaufen.",opus-mt,0,0,0,0
settlers,"Prime Minister Sharon must not bow to pressure from radical settlers and movements, as this would ensure that Israel could only develop within its biblical borders.","Der Premierminister Sharon darf sich nicht vor dem Druck radikaler Siedler und Bewegungen beugen, da dies sicherstellen würde, dass sich Israel nur innerhalb seiner biblischen Grenzen entwickeln kann.",opus-mt,0,0,0,0
primary school pupils,,,,0,0,0,0
recipients,Consideration should be given to the introduction of quality certificates for service providers in order to improve the recipients' confidence.,"Um das Vertrauen der Empfänger zu verbessern, sollte die Einführung von Qualitätszertifikaten für Dienstleistungserbringer in Betracht gezogen werden.",opus-mt,0,0,0,0
recipients,Russia has therefore been treated differently from other recipients of EU loan guarantees.,Daher wurde Russland anders behandelt als andere Empfänger von EU-Darlehensgarantien.,opus-mt,0,0,0,0
recipients,"However, in view of the inaccuracies and shortcomings that have been observed, demands have been presented to have the necessary arrangements made immediately, in particular in order to better define the measures and to actually pass the benefit on to the recipients by curtailing delays in the handling of cases and the payment of beneficiaries, in order to ensure that the results achieved are...","Angesichts der festgestellten Ungenauigkeiten und Mängel wurde jedoch gefordert, dass die erforderlichen Vorkehrungen unverzüglich getroffen werden, insbesondere um die Maßnahmen besser zu definieren und den Begünstigten tatsächlich den Vorteil zu geben, indem Verzögerungen bei der Behandlung von Fällen und bei der Zahlung der Begünstigten verringert werden, um sicherzustellen, dass die erzielten Ergebnisse...",opus-mt,0,0,0,0
recipients,"This correction should not benefit the so-called wealthier 'net payers' at the expense of the poorer 'net recipients' but will be designed to ensure greater fairness in future between the wealthier Member States, the net payers.","Diese Korrektur sollte nicht den so genannten wohlhabenderen „Nettozahlern"" auf Kosten der ärmeren „Nettoempfänger"" zugute kommen, sondern soll künftig für mehr Fairness zwischen den wohlhabenderen Mitgliedstaaten, den Nettozahlern, sorgen.",opus-mt,0,0,0,0
