ID,seed_noun,source,translation,human eval,to_keep,prompt,response
0.0,dispatchers,,,,0.0,N/A,N/A
1.0,deputies,The Foreign Affairs Committee of the Chamber of Deputies of the Parliament of the Czech Republic has suspended talks on the ratification of the Agreement until such time as there is clear progress by the Commission in talks with Canada over ending the unilateral visa requirement for Czech citizens.,"Der Auswärtige Ausschuss der Abgeordnetenkammer des Parlaments der Tschechischen Republik hat die Gespräche über die Ratifizierung des Abkommens ausgesetzt, bis die Kommission in den Gesprächen mit Kanada über die Aufhebung der einseitigen Visumpflicht für tschechische Bürger klare Fortschritte erzielt hat.",1,1.0,"
If the following sentence contains the German translation for the English word 'deputies', tell me which overt gender it displays among Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. If no translation is found, reply with None.
Sentence: 'Der Auswärtige Ausschuss der Abgeordnetenkammer des Parlaments der Tschechischen Republik hat die Gespräche über die Ratifizierung des Abkommens ausgesetzt, bis die Kommission in den Gesprächen mit Kanada über die Aufhebung der einseitigen Visumpflicht für tschechische Bürger klare Fortschritte erzielt hat.'
",The German translation for 'deputies' in the sentence is 'Abgeordnetenkammer'. This word is Masculine.
2.0,deputies,"The work cannot be delegated to the praesidium, to the triumvirate of the chairman and his two deputies.","Die Arbeit kann nicht an das Präsidium, an das Triumvirat des Vorsitzenden und seiner zwei Stellvertreter delegiert werden.",1,1.0,"
If the following sentence contains the German translation for the English word 'deputies', tell me which overt gender it displays among Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. If no translation is found, reply with None.
Sentence: 'Die Arbeit kann nicht an das Präsidium, an das Triumvirat des Vorsitzenden und seiner zwei Stellvertreter delegiert werden.'
",Masculine
3.0,deputies,Among the members elected to the Chamber of Deputies is Mr Fatuzzo.,Unter den gewählten Mitgliedern der Abgeordnetenkammer befindet sich Herr Fatuzzo.,1,1.0,"
If the following sentence contains the German translation for the English word 'deputies', tell me which overt gender it displays among Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. If no translation is found, reply with None.
Sentence: 'Unter den gewählten Mitgliedern der Abgeordnetenkammer befindet sich Herr Fatuzzo.'
",Masculine
4.0,deputies,"But this is strictly on the basis of a highly indulgent interpretation, and I would like to make the point that the Chair should be given plenty of notice of requests for deputies to speak in such circumstances. They should not be left until it is almost time to take a decision.","Aber dies beruht streng auf einer sehr großzügigen Auslegung, und ich möchte betonen, dass dem Vorsitzenden im Voraus genügend Zeit für Anfragen zur Wortmeldung von Stellvertretern eingeräumt werden sollte. Sie sollten nicht erst kurz vor der Entscheidung übrig gelassen werden.",,0.0,N/A,N/A
5.0,deputies,"Initial experiences with the function of the High Representative for Foreign Affairs and Security, and the general expectation that she should be active and present in different places, demand that we think about appointing deputies, or involving other Commissioners in areas of her work to a greater degree, since we have so many of them.","Erste Erfahrungen mit der Funktion der Hohen Vertreterin für Außen- und Sicherheitspolitik und die allgemeine Erwartung, dass sie aktiv und präsent an verschiedenen Orten sein sollte, erfordern, dass wir über die Ernennung von Stellvertretern nachdenken oder andere Kommissare in einem größeren Maße in ihrem Arbeitsbereich einbinden, da wir so viele von ihnen haben.",,0.0,N/A,N/A
6.0,settlers,The security forces evacuated the settlers sensitively but with resolve and determination.,"Die Sicherheitskräfte evakuierten die Siedler sensitiv, jedoch mit Entschlossenheit und Entschiedenheit.",1,1.0,"
If the following sentence contains the German translation for the English word 'settlers', tell me which overt gender it displays among Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. If no translation is found, reply with None.
Sentence: 'Die Sicherheitskräfte evakuierten die Siedler sensitiv, jedoch mit Entschlossenheit und Entschiedenheit.'
",The German translation for the English word 'settlers' in the sentence is 'Siedler' which is Masculine.
7.0,settlers,The settlers at the Golan Heights will demand to be compensated and there will have to be guarantees of security.,Die Siedler auf den Golanhöhen werden eine Entschädigung fordern und es wird Sicherheitsgarantien geben müssen.,1,1.0,"
If the following sentence contains the German translation for the English word 'settlers', tell me which overt gender it displays among Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. If no translation is found, reply with None.
Sentence: 'Die Siedler auf den Golanhöhen werden eine Entschädigung fordern und es wird Sicherheitsgarantien geben müssen.'
",The German translation for 'settlers' in the sentence is 'Siedler'. This noun is Masculine.
8.0,settlers,"The military border would remain, the hundred-thousand Turkish settlers would be allowed to stay in Cyprus, the Turkish army would stay, and Cypriots would not enjoy the same rights as other EU citizens, as their property rights and right to do business would be restricted.","Die militärische Grenze würde bestehen bleiben, den hunderttausend türkischen Siedlern würde erlaubt sein, in Zypern zu bleiben, die türkische Armee würde bleiben, und Zyprioten würden nicht die gleichen Rechte wie andere EU-Bürger genießen, da ihre Eigentumsrechte und das Recht auf Geschäftstätigkeit eingeschränkt würden.",1,1.0,"
If the following sentence contains the German translation for the English word 'settlers', tell me which overt gender it displays among Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. If no translation is found, reply with None.
Sentence: 'Die militärische Grenze würde bestehen bleiben, den hunderttausend türkischen Siedlern würde erlaubt sein, in Zypern zu bleiben, die türkische Armee würde bleiben, und Zyprioten würden nicht die gleichen Rechte wie andere EU-Bürger genießen, da ihre Eigentumsrechte und das Recht auf Geschäftstätigkeit eingeschränkt würden.'
","The German translation for 'settlers' in the sentence is 'Siedlern', which is Masculine."
9.0,settlers,"After five years of the second Intifada, the past six months of calm have witnessed a downturn in violence and terrorist acts and the Israeli withdrawal from the Gaza Strip and removal of settlers from certain parts of the northern West bank has passed off smoothly.","Nach fünf Jahren der zweiten Intifada haben die letzten sechs Monate der Ruhe einen Rückgang an Gewalt und terroristischen Akten erlebt, und der israelische Rückzug aus dem Gazastreifen und die Vertreibung der Siedler aus bestimmten Teilen des nördlichen Westjordanlands verliefen reibungslos.",,0.0,N/A,N/A
